상품코드,자체 상품코드,진열상태,판매상태,상품분류 번호,상품분류 신상품영역,상품분류 추천상품영역,상품명,영문 상품명,상품명(관리용),공급사 상품명,모델명,상품 요약설명,상품 간략설명,상품 상세설명,모바일 상품 상세설명 설정,모바일 상품 상세설명,검색어설정,과세구분,소비자가,공급가,상품가,판매가,판매가 대체문구 사용,판매가 대체문구,주문수량 제한 기준,최소 주문수량(이상),최대 주문수량(이하),적립금,적립금 구분,공통이벤트 정보,성인인증,옵션사용,품목 구성방식,옵션 표시방식,옵션세트명,옵션입력,옵션 스타일,버튼이미지 설정,색상 설정,필수여부,품절표시 문구,추가입력옵션,추가입력옵션 명칭,추가입력옵션 선택/필수여부,입력글자수(자),이미지등록(상세),이미지등록(목록),이미지등록(작은목록),이미지등록(축소),이미지등록(추가),제조사,공급사,브랜드,트렌드,자체분류 코드,제조일자,출시일자,유효기간 사용여부,유효기간,원산지,상품부피(cm),상품결제안내,상품배송안내,교환/반품안내,서비스문의/안내,배송정보,배송방법,국내/해외배송,배송지역,배송비 선결제 설정,배송기간,배송비 구분,배송비입력,스토어픽업 설정,상품 전체중량(kg),HS코드,상품 구분(해외통관),상품소재,영문 상품소재(해외통관),옷감(해외통관),검색엔진최적화(SEO) 검색엔진 노출 설정,검색엔진최적화(SEO) Title,검색엔진최적화(SEO) Author,검색엔진최적화(SEO) Description,검색엔진최적화(SEO) Keywords,검색엔진최적화(SEO) 상품 이미지 Alt 텍스트,개별결제수단설정,상품배송유형 코드,메모
,00188-nnh,Y,Y,26,Y,Y,00188-NNH 헤비웨이트 풀오버 후드티 (9.7oz),,,,00188-nnh,9.7온스 고밀도 기모 원단의 오리지널 풀오버 후드티,,바디 전체를 따뜻하게 감싸주는 헤비웨이트 스웨트 원단과 이중 후드로 각이 잡히는 오리지널 후디입니다.,,,"프린트스타,굿즈/라이프스타일,00188-NNH 헤비웨이트 풀오버 후드티 (9.7oz)",A|10,36800,36800,36800,36800,N,,,1,,,,,N,Y,T,C,,색상{화이트|모쿠 그레이|블랙|네이비|로얄 블루|오트밀|버건디}//사이즈{XS|S|M|L|XL|2XL|3XL|4XL},"P,S",,{#ffffff|#c6c8c9|#1a1a1a|#0f1d35|#054cb9|#e2dbcd|#731630},,품절,,,,,/images/products/00188-nnh/00188-NNH-001_L.jpg,/images/products/00188-nnh/00188-NNH-001_L.jpg,/images/products/00188-nnh/00188-NNH-001_L.jpg,/images/products/00188-nnh/00188-NNH-001_L.jpg,,,,B000000B,,,,,N,,,,,,,,,B,A,전국,C,2|4,D,2000|3000|20000//2000|3000|4000,,,,,,,,Y,00188-NNH 헤비웨이트 풀오버 후드티 (9.7oz),,9.7온스 고밀도 기모 원단의 오리지널 풀오버 후드티,"프린트스타,굿즈/라이프스타일",,"cash,mileage",C,
,00189-nnz,Y,Y,26,Y,Y,00189-NNZ 헤비웨이트 집업 후드티 (9.7oz),,,,00189-nnz,"아우터로 활용성 극대화, 9.7온스 기모 집업 후드",,견고한 전면 메탈 지퍼 슬라이더와 양측 핸드 워머 포켓이 접목되어 레이어드 자켓으로 활용도가 높습니다.,,,"프린트스타,굿즈/라이프스타일,00189-NNZ 헤비웨이트 집업 후드티 (9.7oz)",A|10,41800,41800,41800,41800,N,,,1,,,,,N,Y,T,C,,색상{화이트|모쿠 그레이|블랙|네이비|로얄 블루|오트밀|버건디}//사이즈{XS|S|M|L|XL|2XL|3XL|4XL},"P,S",,{#ffffff|#c6c8c9|#1a1a1a|#0f1d35|#054cb9|#e2dbcd|#731630},,품절,,,,,/images/products/00189-nnz/00189-NNZ-001_L.jpg,/images/products/00189-nnz/00189-NNZ-001_L.jpg,/images/products/00189-nnz/00189-NNZ-001_L.jpg,/images/products/00189-nnz/00189-NNZ-001_L.jpg,,,,B000000B,,,,,N,,,,,,,,,B,A,전국,C,2|4,D,2000|3000|20000//2000|3000|4000,,,,,,,,Y,00189-NNZ 헤비웨이트 집업 후드티 (9.7oz),,"아우터로 활용성 극대화, 9.7온스 기모 집업 후드","프린트스타,굿즈/라이프스타일",,"cash,mileage",C,
,00207-nah,Y,Y,26,Y,Y,00207-NAH 스탠다드 후드 윈드브레이커,,,,00207-nah,생활 방수와 바람막이 기능의 캐주얼 아우터 후드 자켓,,내구성 높은 나일론/폴리 태피터 소재로 찬바람을 완벽히 차단하고 가벼운 빗방울을 튕겨내는 아웃도어 쉘입니다.,,,"프린트스타,굿즈/라이프스타일,00207-NAH 스탠다드 후드 윈드브레이커",A|10,29800,29800,29800,29800,N,,,1,,,,,N,Y,T,C,,색상{화이트|그레이|블랙|네이비|아미그린|애시드블루|라이트 베이지}//사이즈{S|M|L|XL|2XL},"P,S",,{#ffffff|#9ca3af|#1a1a1a|#0f1d35|#4a533c|#98adc2|#eddabf},,품절,,,,,/images/products/00207-nah/00207-NAH-001_L.jpg,/images/products/00207-nah/00207-NAH-001_L.jpg,/images/products/00207-nah/00207-NAH-001_L.jpg,/images/products/00207-nah/00207-NAH-001_L.jpg,,,,B000000B,,,,,N,,,,,,,,,B,A,전국,C,2|4,D,2000|3000|20000//2000|3000|4000,,,,,,,,Y,00207-NAH 스탠다드 후드 윈드브레이커,,생활 방수와 바람막이 기능의 캐주얼 아우터 후드 자켓,"프린트스타,굿즈/라이프스타일",,"cash,mileage",C,
,00208-naz,Y,Y,26,Y,Y,00208-NAZ 스탠다드 집업 스탠드 카라 자켓,,,,00208-naz,단정하고 활동성이 용이한 집업 바람막이,,하이넥 구조의 스탠드 카라로 체온 유지가 쉬우며 트레이닝 및 작업용 유니폼으로 활용하기 편리합니다.,,,"프린트스타,굿즈/라이프스타일,00208-NAZ 스탠다드 집업 스탠드 카라 자켓",A|10,32800,32800,32800,32800,N,,,1,,,,,N,Y,T,C,,색상{화이트|그레이|블랙|네이비|아미그린|애시드블루|라이트 베이지}//사이즈{S|M|L|XL|2XL},"P,S",,{#ffffff|#9ca3af|#1a1a1a|#0f1d35|#4a533c|#98adc2|#eddabf},,품절,,,,,/images/products/00208-naz/00208-NAZ-001_L.jpg,/images/products/00208-naz/00208-NAZ-001_L.jpg,/images/products/00208-naz/00208-NAZ-001_L.jpg,/images/products/00208-naz/00208-NAZ-001_L.jpg,,,,B000000B,,,,,N,,,,,,,,,B,A,전국,C,2|4,D,2000|3000|20000//2000|3000|4000,,,,,,,,Y,00208-NAZ 스탠다드 집업 스탠드 카라 자켓,,단정하고 활동성이 용이한 집업 바람막이,"프린트스타,굿즈/라이프스타일",,"cash,mileage",C,
,00210-nac,Y,Y,26,Y,Y,00210-NAC 스탠다드 윈드브레이커 코치 자켓,,,,00210-nac,"레트로 스트릿 룩의 대명사, 밑단 조절형 코치 자켓",,소매 리브 처리와 밑단 드로코드가 설계되어 다채로운 연출이 가능하며 힙한 자수 프린팅 마킹에 제격입니다.,,,"프린트스타,굿즈/라이프스타일,00210-NAC 스탠다드 윈드브레이커 코치 자켓",A|10,34800,34800,34800,34800,N,,,1,,,,,N,Y,T,C,,색상{화이트|그레이|블랙|네이비|아미그린|애시드블루|라이트 베이지}//사이즈{S|M|L|XL|2XL},"P,S",,{#ffffff|#9ca3af|#1a1a1a|#0f1d35|#4a533c|#98adc2|#eddabf},,품절,,,,,/images/products/00210-nac/00210-NAC-001_L.jpg,/images/products/00210-nac/00210-NAC-001_L.jpg,/images/products/00210-nac/00210-NAC-001_L.jpg,/images/products/00210-nac/00210-NAC-001_L.jpg,,,,B000000B,,,,,N,,,,,,,,,B,A,전국,C,2|4,D,2000|3000|20000//2000|3000|4000,,,,,,,,Y,00210-NAC 스탠다드 윈드브레이커 코치 자켓,,"레트로 스트릿 룩의 대명사, 밑단 조절형 코치 자켓","프린트스타,굿즈/라이프스타일",,"cash,mileage",C,
,00216-mlh,Y,Y,26,Y,Y,00216-MLH 라이트 풀오버 후드티 (8.4oz),,,,00216-mlh,8.4온스의 가볍고 활동하기 편리한 사계절 풀오버 후디,,얇지만 탄탄한 타올 쮸리 원단(기모 없음)으로 가을/겨울뿐 아니라 봄철 아우터 이너로도 편안합니다.,,,"프린트스타,굿즈/라이프스타일,00216-MLH 라이트 풀오버 후드티 (8.4oz)",A|10,26800,26800,26800,26800,N,,,1,,,,,N,Y,T,C,,색상{화이트|모쿠 그레이|블랙|블루|오트밀|버건디|네이비}//사이즈{110|130|150|WM|S|M|L|XL|2XL|3XL},"P,S",,{#ffffff|#c6c8c9|#1a1a1a|#3b82f6|#e2dbcd|#731630|#0f1d35},,품절,,,,,/images/products/00216-mlh/00216-MLH-001_L.jpg,/images/products/00216-mlh/00216-MLH-001_L.jpg,/images/products/00216-mlh/00216-MLH-001_L.jpg,/images/products/00216-mlh/00216-MLH-001_L.jpg,,,,B000000B,,,,,N,,,,,,,,,B,A,전국,C,2|4,D,2000|3000|20000//2000|3000|4000,,,,,,,,Y,00216-MLH 라이트 풀오버 후드티 (8.4oz),,8.4온스의 가볍고 활동하기 편리한 사계절 풀오버 후디,"프린트스타,굿즈/라이프스타일",,"cash,mileage",C,
,00217-mlz,Y,Y,26,Y,Y,00217-MLZ 라이트 집업 후드티 (8.4oz),,,,00217-mlz,간편한 탈착이 매력적인 8.4온스 슬림 핏 집업 후디,,스포티하고 단정한 핏의 실루엣으로 데일리 가볍게 아우터 레이어링 자켓으로 걸쳐 입기 최적입니다.,,,"프린트스타,굿즈/라이프스타일,00217-MLZ 라이트 집업 후드티 (8.4oz)",A|10,31800,31800,31800,31800,N,,,1,,,,,N,Y,T,C,,색상{화이트|모쿠 그레이|블랙|블루|오트밀|버건디|네이비}//사이즈{110|130|150|WM|S|M|L|XL|2XL|3XL},"P,S",,{#ffffff|#c6c8c9|#1a1a1a|#3b82f6|#e2dbcd|#731630|#0f1d35},,품절,,,,,/images/products/00217-mlz/00217-MLZ-001_L.jpg,/images/products/00217-mlz/00217-MLZ-001_L.jpg,/images/products/00217-mlz/00217-MLZ-001_L.jpg,/images/products/00217-mlz/00217-MLZ-001_L.jpg,,,,B000000B,,,,,N,,,,,,,,,B,A,전국,C,2|4,D,2000|3000|20000//2000|3000|4000,,,,,,,,Y,00217-MLZ 라이트 집업 후드티 (8.4oz),,간편한 탈착이 매력적인 8.4온스 슬림 핏 집업 후디,"프린트스타,굿즈/라이프스타일",,"cash,mileage",C,
,00218-mlp,Y,Y,29,Y,Y,00218-MLP 라이트 스웨트 조거 팬츠 (8.4oz),,,,00218-mlp,발목을 감싸주어 단정한 8.4온스 스웨트 조거 팬츠,,허리 고무줄 스트링과 탄력 있는 발목 시보리로 스포티함과 홈웨어를 넘나드는 편리한 착용감을 줍니다.,,,"프린트스타,데일리 웨어,00218-MLP 라이트 스웨트 조거 팬츠 (8.4oz)",A|10,21800,21800,21800,21800,N,,,1,,,,,N,Y,T,C,,색상{화이트|모쿠 그레이|블랙|블루|오트밀|버건디|네이비}//사이즈{110|130|150|WM|S|M|L|XL|2XL},"P,S",,{#ffffff|#c6c8c9|#1a1a1a|#3b82f6|#e2dbcd|#731630|#0f1d35},,품절,,,,,/images/products/00218-mlp/00218-MLP-001_L.jpg,/images/products/00218-mlp/00218-MLP-001_L.jpg,/images/products/00218-mlp/00218-MLP-001_L.jpg,/images/products/00218-mlp/00218-MLP-001_L.jpg,,,,B000000B,,,,,N,,,,,,,,,B,A,전국,C,2|4,D,2000|3000|20000//2000|3000|4000,,,,,,,,Y,00218-MLP 라이트 스웨트 조거 팬츠 (8.4oz),,발목을 감싸주어 단정한 8.4온스 스웨트 조거 팬츠,"프린트스타,데일리 웨어",,"cash,mileage",C,
,00219-mlc,Y,Y,29,Y,Y,00219-MLC 라이트 크루넥 맨투맨 (8.4oz),,,,00219-mlc,부담 없이 편안하게 즐기는 8.4온스 크루넥 스웨트 셔츠,,적당한 두께감의 쮸리 원단(100% 면)으로 사계절 내내 단체복 유니폼으로 즐길 수 있는 미니멀 맨투맨입니다.,,,"프린트스타,데일리 웨어,00219-MLC 라이트 크루넥 맨투맨 (8.4oz)",A|10,18800,18800,18800,18800,N,,,1,,,,,N,Y,T,C,,색상{화이트|모쿠 그레이|블랙|블루|오트밀|버건디|브라이트 그린|네이비}//사이즈{110|130|150|WM|S|M|L|XL|2XL|3XL},"P,S",,{#ffffff|#c6c8c9|#1a1a1a|#3b82f6|#e2dbcd|#731630|#22c55e|#0f1d35},,품절,,,,,/images/products/00219-mlc/00219-MLC-001_L.jpg,/images/products/00219-mlc/00219-MLC-001_L.jpg,/images/products/00219-mlc/00219-MLC-001_L.jpg,/images/products/00219-mlc/00219-MLC-001_L.jpg,,,,B000000B,,,,,N,,,,,,,,,B,A,전국,C,2|4,D,2000|3000|20000//2000|3000|4000,,,,,,,,Y,00219-MLC 라이트 크루넥 맨투맨 (8.4oz),,부담 없이 편안하게 즐기는 8.4온스 크루넥 스웨트 셔츠,"프린트스타,데일리 웨어",,"cash,mileage",C,
,00220-mhp,Y,Y,29,Y,Y,00220-MHP 헤비웨이트 크루넥 스웨트 셔츠 (9.7oz),,,,00220-mhp,9.7온스의 보온성 높은 기모 안감 볼드 크루넥,,중후한 핏의 고중량 원단으로 실루엣이 탄탄하며 추운 겨울철 이너로 완벽합니다.,,,"프린트스타,데일리 웨어,00220-MHP 헤비웨이트 크루넥 스웨트 셔츠 (9.7oz)",A|10,23800,23800,23800,23800,N,,,1,,,,,N,Y,T,C,,색상{모쿠 그레이|블랙|네이비}//사이즈{XS|S|M|L|XL|2XL|3XL|4XL},"P,S",,{#c6c8c9|#1a1a1a|#0f1d35},,품절,,,,,/images/products/00220-mhp/00220-MHP-003_L.jpg,/images/products/00220-mhp/00220-MHP-003_L.jpg,/images/products/00220-mhp/00220-MHP-003_L.jpg,/images/products/00220-mhp/00220-MHP-003_L.jpg,,,,B000000B,,,,,N,,,,,,,,,B,A,전국,C,2|4,D,2000|3000|20000//2000|3000|4000,,,,,,,,Y,00220-MHP 헤비웨이트 크루넥 스웨트 셔츠 (9.7oz),,9.7온스의 보온성 높은 기모 안감 볼드 크루넥,"프린트스타,데일리 웨어",,"cash,mileage",C,
,00238-rfj,Y,Y,26,Y,Y,00238-RFJ 리버서블 양면 플리스 자켓,,,,00238-rfj,플리스와 바람막이를 양면으로 착용하는 리버서블 아우터,,"한 면은 부드러운 보아 플리스 원단, 반대편은 바람막이 방풍 타포린 원단으로 제작되어 날씨에 맞춰 두 가지 연출이 가능한 헤비 방한 아우터입니다.",,,"프린트스타,굿즈/라이프스타일,00238-RFJ 리버서블 양면 플리스 자켓",A|10,39800,39800,39800,39800,N,,,1,,,,,N,Y,T,C,,색상{그레이|블랙|네이비}//사이즈{S|M|L|XL|2XL},"P,S",,{#9ca3af|#1a1a1a|#0f1d35},,품절,,,,,/images/products/00238-rfj/00238-RFJ-002_L.jpg,/images/products/00238-rfj/00238-RFJ-002_L.jpg,/images/products/00238-rfj/00238-RFJ-002_L.jpg,/images/products/00238-rfj/00238-RFJ-002_L.jpg,,,,B000000B,,,,,N,,,,,,,,,B,A,전국,C,2|4,D,2000|3000|20000//2000|3000|4000,,,,,,,,Y,00238-RFJ 리버서블 양면 플리스 자켓,,플리스와 바람막이를 양면으로 착용하는 리버서블 아우터,"프린트스타,굿즈/라이프스타일",,"cash,mileage",C,
,00271-bfc,Y,Y,29,Y,Y,00271-BFC 스탠다드 맨투맨 스웨트 (T/C),,,,00271-bfc,T/C 혼방으로 세탁 후 변형과 주름을 방지한 스탠다드 크루넥,,면과 폴리에스터 혼방 기모 스웨트 원단으로 보풀이 적고 내구성이 대단히 뛰어난 단체 맨투맨입니다.,,,"프린트스타,데일리 웨어,00271-BFC 스탠다드 맨투맨 스웨트 (T/C)",A|10,20800,20800,20800,20800,N,,,1,,,,,N,Y,T,C,,색상{화이트|모쿠 그레이|블랙|네이비|아미그린|차콜}//사이즈{XS|S|M|L|XL|2XL|3XL|4XL},"P,S",,{#ffffff|#c6c8c9|#1a1a1a|#0f1d35|#4a533c|#494b52},,품절,,,,,/images/products/00271-bfc/00271-BFC-001_L.jpg,/images/products/00271-bfc/00271-BFC-001_L.jpg,/images/products/00271-bfc/00271-BFC-001_L.jpg,/images/products/00271-bfc/00271-BFC-001_L.jpg,,,,B000000B,,,,,N,,,,,,,,,B,A,전국,C,2|4,D,2000|3000|20000//2000|3000|4000,,,,,,,,Y,00271-BFC 스탠다드 맨투맨 스웨트 (T/C),,T/C 혼방으로 세탁 후 변형과 주름을 방지한 스탠다드 크루넥,"프린트스타,데일리 웨어",,"cash,mileage",C,
,00272-bfh,Y,Y,26,Y,Y,00272-BFH 스탠다드 풀오버 후드티 (T/C),,,,00272-bfh,합리적인 가격의 스탠다드 핏 무지 후드티셔츠,,부드러운 기모 스웨트 원단으로 제작되어 가격 대비 높은 보온성과 핏 완성도를 보여줍니다.,,,"프린트스타,굿즈/라이프스타일,00272-BFH 스탠다드 풀오버 후드티 (T/C)",A|10,28800,28800,28800,28800,N,,,1,,,,,N,Y,T,C,,색상{화이트|모쿠 그레이|블랙|네이비|아미그린|차콜}//사이즈{XS|S|M|L|XL|2XL|3XL|4XL},"P,S",,{#ffffff|#c6c8c9|#1a1a1a|#0f1d35|#4a533c|#494b52},,품절,,,,,/images/products/00272-bfh/00272-BFH-001_L.jpg,/images/products/00272-bfh/00272-BFH-001_L.jpg,/images/products/00272-bfh/00272-BFH-001_L.jpg,/images/products/00272-bfh/00272-BFH-001_L.jpg,,,,B000000B,,,,,N,,,,,,,,,B,A,전국,C,2|4,D,2000|3000|20000//2000|3000|4000,,,,,,,,Y,00272-BFH 스탠다드 풀오버 후드티 (T/C),,합리적인 가격의 스탠다드 핏 무지 후드티셔츠,"프린트스타,굿즈/라이프스타일",,"cash,mileage",C,
,00273-bfz,Y,Y,26,Y,Y,00273-BFZ 스탠다드 집업 후드티 (T/C),,,,00273-bfz,"캐주얼 단체 아우터 1순위, 기모 집업 후드 자켓",,실용적인 지퍼 여밈 구조로 아침저녁 간편하게 레이어드하기 좋은 대중적인 기모 조크 후드집업입니다.,,,"프린트스타,굿즈/라이프스타일,00273-BFZ 스탠다드 집업 후드티 (T/C)",A|10,33800,33800,33800,33800,N,,,1,,,,,N,Y,T,C,,색상{화이트|모쿠 그레이|블랙|네이비|아미그린|차콜}//사이즈{XS|S|M|L|XL|2XL|3XL|4XL},"P,S",,{#ffffff|#c6c8c9|#1a1a1a|#0f1d35|#4a533c|#494b52},,품절,,,,,/images/products/00273-bfz/00273-BFZ-001_L.jpg,/images/products/00273-bfz/00273-BFZ-001_L.jpg,/images/products/00273-bfz/00273-BFZ-001_L.jpg,/images/products/00273-bfz/00273-BFZ-001_L.jpg,,,,B000000B,,,,,N,,,,,,,,,B,A,전국,C,2|4,D,2000|3000|20000//2000|3000|4000,,,,,,,,Y,00273-BFZ 스탠다드 집업 후드티 (T/C),,"캐주얼 단체 아우터 1순위, 기모 집업 후드 자켓","프린트스타,굿즈/라이프스타일",,"cash,mileage",C,
,00300-act,Y,Y,30,Y,Y,00300-ACT 드라이 메쉬 라운드 반팔 티셔츠,,,,00300-act,"흡습 속건의 강자, 4.4온스 액티브 드라이 티셔츠",,"폴리에스터 100% 매쉬 편조직 원단으로 스포츠, 레저 및 격렬한 땀 배출 활동에 압도적인 건조 속도를 선사합니다. UV 자외선 차단 90% 이상 기능이 포함되어 야외 활동용 단체복으로 최고입니다.",,,"글리머,액티브 웨어,00300-ACT 드라이 메쉬 라운드 반팔 티셔츠",A|10,6800,6800,6800,6800,N,,,1,,,,,N,Y,T,C,,색상{화이트|그레이|블랙|레드|핑크|퍼플|오렌지|그린|네이비|로얄 블루|터코이즈|아미그린|색상 047|색상 048|민트블루|버건디|올리브|라이트 핑크|라이트 블루|라이트 옐로우|핫핑크|실버 그레이|라임|데이지|다크 그레이|라이트 퍼플|코요테|라이트 베이지|스 그레이|스 블루|스 레드|스 퍼플}//사이즈{100|110|120|130|140|150|SS|S|M|L|LL|3L|4L|5L},"P,S",,{#ffffff|#9ca3af|#1a1a1a|#e6193c|#f472b6|#48339b|#ff5f00|#00874e|#0f1d35|#054cb9|#00a2cc|#4a533c|#9ca3af|#9ca3af|#7dd3fc|#731630|#565d38|#ffccd5|#a2dbe7|#fff4ab|#e6006f|#b8b6b9|#84cc16|#ffcc00|#374151|#c3b2db|#a16207|#eddabf|#9ca3af|#3b82f6|#e6193c|#48339b},,품절,,,,,/images/products/00300-act/00300-ACT-001_M.jpg,/images/products/00300-act/00300-ACT-001_M.jpg,/images/products/00300-act/00300-ACT-001_M.jpg,/images/products/00300-act/00300-ACT-001_M.jpg,,,,B000000D,,,,,N,,,,,,,,,B,A,전국,C,2|4,D,2000|3000|20000//2000|3000|4000,,,,,,,,Y,00300-ACT 드라이 메쉬 라운드 반팔 티셔츠,,"흡습 속건의 강자, 4.4온스 액티브 드라이 티셔츠","글리머,액티브 웨어",,"cash,mileage",C,
,00302-adp,Y,Y,30,Y,Y,00302-ADP 드라이 메쉬 칼라 폴로셔츠,,,,00302-adp,"단정함과 스포티함의 조화, 칼라형 드라이 반팔 폴로",,"속건성이 우수한 메쉬 소재 카라 셔츠로 매장 유니폼, 쿨비즈 사내복, 골프 및 테니스웨어로 두루 각광받습니다.",,,"글리머,액티브 웨어,00302-ADP 드라이 메쉬 칼라 폴로셔츠",A|10,9600,9600,9600,9600,N,,,1,,,,,N,Y,T,C,,색상{화이트|그레이|블랙|레드|핑크|퍼플|오렌지|그린|민트 그린|네이비|로얄 블루|터코이즈|아미그린|버건디|라이트 핑크|라이트 블루|핫핑크|라임|데이지|다크 그레이}//사이즈{120|130|140|150|SS|S|M|L|LL|3L|4L|5L},"P,S",,{#ffffff|#9ca3af|#1a1a1a|#e6193c|#f472b6|#48339b|#ff5f00|#00874e|#a7f3d0|#0f1d35|#054cb9|#00a2cc|#4a533c|#731630|#ffccd5|#a2dbe7|#e6006f|#84cc16|#ffcc00|#374151},,품절,,,,,/images/products/00302-adp/00302-ADP-001_M.jpg,/images/products/00302-adp/00302-ADP-001_M.jpg,/images/products/00302-adp/00302-ADP-001_M.jpg,/images/products/00302-adp/00302-ADP-001_M.jpg,,,,B000000D,,,,,N,,,,,,,,,B,A,전국,C,2|4,D,2000|3000|20000//2000|3000|4000,,,,,,,,Y,00302-ADP 드라이 메쉬 칼라 폴로셔츠,,"단정함과 스포티함의 조화, 칼라형 드라이 반팔 폴로","글리머,액티브 웨어",,"cash,mileage",C,
,00304-alt,Y,Y,30,Y,Y,00304-ALT 드라이 메쉬 라운드 긴팔 티셔츠,,,,00304-alt,사계절 자외선으로부터 피부를 보호하는 드라이 긴팔 티셔츠,,"UPF50+ 자외선 차단 설계와 고속 건조 메쉬 원단을 접목해 러닝, 등산, 라이딩 시 필수 레이어로 추천됩니다.",,,"글리머,액티브 웨어,00304-ALT 드라이 메쉬 라운드 긴팔 티셔츠",A|10,8800,8800,8800,8800,N,,,1,,,,,N,Y,T,C,,색상{화이트|그레이|블랙|레드|퍼플|라이트 그린|그린|네이비|로얄 블루|터코이즈|아미그린|버건디|라이트 블루}//사이즈{140|150|SS|S|M|L|LL|3L|4L|5L},"P,S",,{#ffffff|#9ca3af|#1a1a1a|#e6193c|#48339b|#86efac|#00874e|#0f1d35|#054cb9|#00a2cc|#4a533c|#731630|#a2dbe7},,품절,,,,,/images/products/00304-alt/00304-ALT-001_L.jpg,/images/products/00304-alt/00304-ALT-001_L.jpg,/images/products/00304-alt/00304-ALT-001_L.jpg,/images/products/00304-alt/00304-ALT-001_L.jpg,,,,B000000D,,,,,N,,,,,,,,,B,A,전국,C,2|4,D,2000|3000|20000//2000|3000|4000,,,,,,,,Y,00304-ALT 드라이 메쉬 라운드 긴팔 티셔츠,,사계절 자외선으로부터 피부를 보호하는 드라이 긴팔 티셔츠,"글리머,액티브 웨어",,"cash,mileage",C,
,00313-abn,Y,Y,30,Y,Y,00313-ABN 드라이 버튼다운 폴로셔츠 (반팔),,,,00313-abn,목 깃이 무너지지 않는 세련된 버튼다운 쿨 드라이 셔츠,,버튼으로 칼라 끝깃을 고정하는 디자인으로 비즈니스 캐주얼 및 고품격 점포 서빙 유니폼으로 훌륭합니다.,,,"글리머,액티브 웨어,00313-ABN 드라이 버튼다운 폴로셔츠 (반팔)",A|10,10800,10800,10800,10800,N,,,1,,,,,N,Y,T,C,,색상{화이트|블랙|레드|그린|네이비|로얄 블루|코발트 블루|터코이즈|버건디|라이트 핑크|라임|데이지}//사이즈{SS|S|M|L|LL|3L|4L|5L},"P,S",,{#ffffff|#1a1a1a|#e6193c|#00874e|#0f1d35|#054cb9|#0052ff|#00a2cc|#731630|#ffccd5|#84cc16|#ffcc00},,품절,,,,,/images/products/00313-abn/00313-ABN-001_L.jpg,/images/products/00313-abn/00313-ABN-001_L.jpg,/images/products/00313-abn/00313-ABN-001_L.jpg,/images/products/00313-abn/00313-ABN-001_L.jpg,,,,B000000D,,,,,N,,,,,,,,,B,A,전국,C,2|4,D,2000|3000|20000//2000|3000|4000,,,,,,,,Y,00313-ABN 드라이 버튼다운 폴로셔츠 (반팔),,목 깃이 무너지지 않는 세련된 버튼다운 쿨 드라이 셔츠,"글리머,액티브 웨어",,"cash,mileage",C,
,00321-acr,Y,Y,30,Y,Y,00321-ACR 드라이 버튼다운 시보리 폴로셔츠,,,,00321-acr,깃 버튼다운과 소매 리브 처리가 적용된 디테일러 폴로셔츠,,소매단이 단정하게 조여져 핏이 깨끗하고 스포츠 시 단정한 움직임을 유지시켜 줍니다.,,,"글리머,액티브 웨어,00321-ACR 드라이 버튼다운 시보리 폴로셔츠",A|10,11200,11200,11200,11200,N,,,1,,,,,N,Y,T,C,,색상{블랙|네이비|다크 그레이|스 그레이}//사이즈{SS|S|M|L|LL|3L|4L|5L},"P,S",,{#1a1a1a|#0f1d35|#374151|#9ca3af},,품절,,,,,/images/products/00321-acr/00321-ACR-005_L.jpg,/images/products/00321-acr/00321-ACR-005_L.jpg,/images/products/00321-acr/00321-ACR-005_L.jpg,/images/products/00321-acr/00321-ACR-005_L.jpg,,,,B000000D,,,,,N,,,,,,,,,B,A,전국,C,2|4,D,2000|3000|20000//2000|3000|4000,,,,,,,,Y,00321-ACR 드라이 버튼다운 시보리 폴로셔츠,,깃 버튼다운과 소매 리브 처리가 적용된 디테일러 폴로셔츠,"글리머,액티브 웨어",,"cash,mileage",C,
,00325-acp,Y,Y,30,Y,Y,00325-ACP 드라이 메쉬 포켓 폴로셔츠 (반팔),,,,00325-acp,왼가슴 포켓 장착으로 펜 및 무전기 수납이 편한 쿨비즈 셔츠,,포켓 수납 편의성을 극대화한 스포츠 드라이 카라티셔츠로 배달 및 필드 야외 작업에 요긴합니다.,,,"글리머,액티브 웨어,00325-ACP 드라이 메쉬 포켓 폴로셔츠 (반팔)",A|10,10200,10200,10200,10200,N,,,1,,,,,N,Y,T,C,,색상{그레이|블랙|네이비|다크 그레이}//사이즈{SS|S|M|L|LL|3L|4L|5L},"P,S",,{#9ca3af|#1a1a1a|#0f1d35|#374151},,품절,,,,,/images/products/00325-acp/00325-ACP-002_L.jpg,/images/products/00325-acp/00325-ACP-002_L.jpg,/images/products/00325-acp/00325-ACP-002_L.jpg,/images/products/00325-acp/00325-ACP-002_L.jpg,,,,B000000D,,,,,N,,,,,,,,,B,A,전국,C,2|4,D,2000|3000|20000//2000|3000|4000,,,,,,,,Y,00325-ACP 드라이 메쉬 포켓 폴로셔츠 (반팔),,왼가슴 포켓 장착으로 펜 및 무전기 수납이 편한 쿨비즈 셔츠,"글리머,액티브 웨어",,"cash,mileage",C,
